#TYPE Selected.System.Xml.XmlElement
"name"
"Adobe Acrobat Reader"
"AiM iDesk 8"
"Alertus +"
"Blackboard"
"Blackboard Collaborate??? Mobile"
"Calculator Pro+ for iPad"
"Campus Labs Collect"
"Camscanner|Document Scan and Fax"
"Cherwell Mobile"
"Cisco AnyConnect"
"ClickAndGo"
"Dropbox"
"EduCalc Classic"
"Facebook"
"FiRE 9.2 Operations and Maint"
"GarageBand - University of Alaska Anchorage"
"Glogster - Multimedia Posters"
"Gmail - Email by Google"
"Google Calendar: Time Planner"
"Google Chrome"
"Google Docs: Sync, Edit, Share"
"Google Drive"
"Google Sheets"
"Google Slides"
"Hangouts"
"iGVE"
"iMovie"
"Jamf Self Service"
"Keynote"
"Kiosk Pro Lite"
"LiveCollage Classic -FREE Instant Collage Maker"
"Microsoft Excel"
"Microsoft OneDrive"
"Microsoft OneNote"
"Microsoft Outlook"
"Microsoft PowerPoint"
"Microsoft Remote Desktop"
"Microsoft Teams"
"Microsoft Word"
"Numbers"
"Pages"
"Pharos Print"
"Photomath"
"Plantronics Hub???"
"Powtoon Connect"
"QR Code Reader ??"
"QR Code Reader for iPhone!"
"Skype for Business"
"Slack"
"Sonocent Link"
"Speechify - Text To Speech OCR"
"Splashtop Enterprise"
"Splashtop Personal for iPhone"
"Survey123 for ArcGIS"
"Twitter"
"UAA Mobile"
"UAA SAFE"
"YouTube: Watch, Listen, Stream"
"Zello Walkie Talkie"
